hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria
2023-12-31 10:17:00,750.0,4,0,3.0,0,762.0,,,,,0.0,2023-12-31,img_20231231_121800_778.JPG,web_site,#251b23,angry
2023-12-29 13:44:00,555.0,8,0,,2,620.0,76.0,,,,-2.0,2023-12-29,img_20231229_120935_441.JPG,web_site,#aa7f9f,happy
2023-12-29 13:44:00,555.0,8,0,,2,620.0,76.0,,,,-2.0,2023-12-29,img_20231229_154437_750.JPG,web_site,#f3caea,fear
2023-12-29 10:09:00,841.0,3,0,3.0,0,840.0,,,,,0.0,2023-12-29,img_20231229_120935_441.JPG,web_site,#aa7f9f,happy
2023-12-29 10:09:00,841.0,3,0,3.0,0,840.0,,,,,0.0,2023-12-29,img_20231229_154437_750.JPG,web_site,#f3caea,fear
2023-12-28 07:21:00,401.0,1,0,4.0,0,389.0,,,,,-2.0,2023-12-28,img_20231228_092223_407.JPG,web_site,#5e473a,fear
2023-12-27 15:06:00,8231.0,4,0,62.0,0,8064.0,,,,,0.0,2023-12-27,img_20231227_170637_259.JPG,shower_cap,#67626a,happy
2023-12-25 13:12:00,1560.0,7,0,9.0,0,1546.0,,,,,0.0,2023-12-25,img_20231225_111317_831.JPG,packet,#9b7f95,sad
2023-12-25 13:12:00,1560.0,7,0,9.0,0,1546.0,,,,,0.0,2023-12-25,img_20231225_151219_549.JPG,web_site,#55779b,happy
2023-12-25 09:13:00,828.0,6,1,2.0,0,857.0,,,,,0.0,2023-12-25,img_20231225_111317_831.JPG,packet,#9b7f95,sad
2023-12-25 09:13:00,828.0,6,1,2.0,0,857.0,,,,,0.0,2023-12-25,img_20231225_151219_549.JPG,web_site,#55779b,happy
2023-12-23 09:05:00,336.0,2,0,,0,309.0,,,,,0.0,2023-12-23,img_20231223_110557_952.JPG,screen,#534e38,happy
2023-12-23 09:05:00,336.0,2,0,,0,309.0,,,,,0.0,2023-12-23,img_20231223_110559_012.JPG,television,#555b3c,sad
2023-12-23 09:05:00,473.0,3,0,1.0,0,450.0,,,,,0.0,2023-12-23,img_20231223_110557_952.JPG,screen,#534e38,happy
2023-12-23 09:05:00,473.0,3,0,1.0,0,450.0,,,,,0.0,2023-12-23,img_20231223_110559_012.JPG,television,#555b3c,sad
2023-12-22 16:27:00,1133.0,5,0,3.0,0,1127.0,,,,,0.0,2023-12-22,IMG_20231222_182937_798.jpg,potter's_wheel,#4e4f66,happy
2023-12-22 16:27:00,1133.0,5,0,3.0,0,1127.0,,,,,0.0,2023-12-22,img_20231222_182817_998.JPG,potter's_wheel,#4c4d63,happy
2023-12-20 15:51:00,847.0,4,0,3.0,0,849.0,,,,,0.0,2023-12-20,img_20231220_175120_219.JPG,dining_table,#5b6b8a,angry
2023-12-18 15:36:00,861.0,6,0,6.0,0,871.0,,,,,0.0,2023-12-18,img_20231218_173716_965.JPG,swing,#6c7089,happy
2023-12-14 16:53:00,1168.0,5,0,15.0,0,1160.0,,,,,0.0,2023-12-14,img_20231214_185323_269.JPG,web_site,#8c8399,happy
2023-12-13 11:14:00,183.0,1,0,,0,195.0,3.0,,,,-2.0,2023-12-13,img_20231213_131506_349.JPG,web_site,#733d5d,neutral
2023-12-13 11:14:00,183.0,1,0,,0,195.0,3.0,,,,-2.0,2023-12-13,img_20231213_131509_899.JPG,web_site,#514940,angry
2023-12-13 11:14:00,316.0,1,0,3.0,0,317.0,,,,,-2.0,2023-12-13,img_20231213_131506_349.JPG,web_site,#733d5d,neutral
2023-12-13 11:14:00,316.0,1,0,3.0,0,317.0,,,,,-2.0,2023-12-13,img_20231213_131509_899.JPG,web_site,#514940,angry
2023-08-12 07:53:00,526.0,6,0,1.0,3,528.0,,,,,0.0,2023-08-12,IMG_20230812_214312_621.JPG,pencil_box,#594a6f,fear
2023-08-12 07:40:00,627.0,1,0,2.0,1,614.0,,,,,0.0,2023-08-12,IMG_20230812_214312_621.JPG,pencil_box,#594a6f,fear
2023-01-12 06:06:00,299.0,2,0,2.0,0,301.0,2.0,,,,-2.0,2023-01-12,IMG_20230112_154949_486.jpg,web_site,#6c79bd,happy
2023-11-29 07:28:00,363.0,2,0,2.0,0,353.0,,,,,0.0,2023-11-29,img_20231129_092822_072.JPG,book_jacket,#857485,happy
2023-11-27 09:57:00,4916.0,3,0,40.0,3,4955.0,,,,,0.0,2023-11-27,img_20231127_115721_790.JPG,plate,#8a92a0,fear
2023-11-20 09:44:00,7545.0,3,0,56.0,0,7450.0,,,,,0.0,2023-11-20,img_20231120_114518_579.JPG,wok,#95989e,angry
2023-11-14 15:09:00,1117.0,5,0,13.0,0,1124.0,,,,,0.0,2023-11-14,img_20231114_171018_259.JPG,book_jacket,#6b5a5b,happy
2023-11-13 10:39:00,4649.0,11,0,15.0,0,4643.0,,,,,0.0,2023-11-13,img_20231113_124011_527.JPG,web_site,#aea38e,angry
2023-01-11 15:23:00,1395.0,2,0,7.0,0,1404.0,,,,,0.0,2023-01-11,IMG_20230111_090246_054.jpg,espresso,#b4bbce,sad
2023-01-11 10:15:00,537.0,4,0,2.0,0,528.0,,,,,0.0,2023-01-11,IMG_20230111_090246_054.jpg,espresso,#b4bbce,sad
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,angry
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,sad
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,sad
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_180907_348.JPG,plate,#6984b4,neutral
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,angry
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,sad
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,sad
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_180907_348.JPG,plate,#6984b4,neutral
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,angry
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,sad
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,sad
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_180907_348.JPG,plate,#6984b4,neutral
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,angry
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,sad
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,sad
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_180907_348.JPG,plate,#6984b4,neutral
2023-10-30 12:41:00,202.0,0,0,,0,198.0,,,,,0.0,2023-10-30,img_20231030_134200_340.JPG,web_site,#9898a0,sad
2023-10-29 15:11:00,7241.0,5,0,29.0,0,7235.0,,,4.0,,-2.0,2023-10-29,img_20231029_16114_271.JPG,web_site,#9c96b2,happy
2023-10-25 17:58:00,2591.0,2,0,16.0,0,2619.0,,,,,0.0,2023-10-25,img_20231025_185900_681.JPG,web_site,#545b73,sad
2023-10-23 10:12:00,1567.0,3,0,6.0,0,1616.0,,,,,0.0,2023-10-23,img_20231023_111222_164.JPG,caldron,#54606c,angry
2023-10-19 09:17:00,1533.0,2,0,14.0,0,1623.0,,,,,0.0,2023-10-19,img_20231019_101739_145.JPG,frying_pan,#778691,happy
2023-10-16 10:19:00,6409.0,8,0,21.0,0,6576.0,,,,,0.0,2023-10-16,img_20231016_111931_352.JPG,French_loaf,#5c6980,neutral
2023-10-14 17:30:00,5121.0,8,0,32.0,2,5180.0,,,,,0.0,2023-10-14,img_20231014_183052_868.JPG,night_snake,#5e5d74,fear
2023-05-10 13:43:00,801.0,1,0,5.0,0,802.0,,,,,0.0,2023-05-10,img_20230510_105830_075.JPG,seat_belt,#8a8496,happy
2023-02-10 10:20:00,232.0,1,0,,0,225.0,,,,,-2.0,2023-02-10,IMG_20230210_131835_344.jpg,web_site,#779aac,happy
2023-02-10 10:20:00,232.0,1,0,,0,225.0,,,,,-2.0,2023-02-10,IMG_20230210_131753_231.jpg,web_site,#c7c0d3,sad
2023-02-10 10:17:00,414.0,2,0,,0,438.0,,,,,-2.0,2023-02-10,IMG_20230210_131835_344.jpg,web_site,#779aac,happy
2023-02-10 10:17:00,414.0,2,0,,0,438.0,,,,,-2.0,2023-02-10,IMG_20230210_131753_231.jpg,web_site,#c7c0d3,sad
2023-05-07 20:59:00,704.0,1,0,2.0,0,703.0,,,,,-2.0,2023-05-07,img_20230507_094152_08.JPG,web_site,#52565f,happy
2023-09-29 09:58:00,456.0,1,0,5.0,0,462.0,,,,,-2.0,2023-09-29,img_20230929_105901_289.JPG,envelope,#a5c9d9,happy
2023-09-26 14:55:00,881.0,2,0,11.0,0,892.0,,,,,0.0,2023-09-26,img_20230926_155613_230.JPG,web_site,#cdcfd6,neutral
2023-09-22 10:26:00,721.0,1,0,8.0,0,756.0,,,,,0.0,2023-09-22,img_20230922_112624_757.JPG,sunglasses,#8993a8,happy
2023-09-19 21:42:00,338.0,1,0,3.0,0,328.0,,,,,-2.0,2023-09-19,img_20230919_211326_765.JPG,packet,#585d5e,happy
2023-09-19 21:42:00,338.0,1,0,3.0,0,328.0,,,,,-2.0,2023-09-19,img_20230919_224225_448.JPG,web_site,#8a756b,sad
2023-09-19 20:13:00,590.0,1,0,7.0,1,584.0,,,,,-2.0,2023-09-19,img_20230919_211326_765.JPG,packet,#585d5e,happy
2023-09-19 20:13:00,590.0,1,0,7.0,1,584.0,,,,,-2.0,2023-09-19,img_20230919_224225_448.JPG,web_site,#8a756b,sad
2023-09-18 12:25:00,324.0,1,0,1.0,0,325.0,,,,,0.0,2023-09-18,img_20230918_132526_627.JPG,web_site,#f0ecf0,neutral
2023-09-13 08:17:00,495.0,3,0,4.0,0,489.0,,,,,0.0,2023-09-13,img_20230913_091736_225.JPG,web_site,#628479,happy
2023-08-31 14:03:00,1117.0,5,0,5.0,1,1062.0,,,,,-2.0,2023-08-31,img_20230831_150332_484.JPG,web_site,#bdb7bc,neutral
2023-08-14 11:35:00,1782.0,1,0,10.0,2,1779.0,,,,,-2.0,2023-08-14,img_20230814_123530_258.JPG,web_site,#b7b8b9,angry
2023-12-08 20:43:00,744.0,3,0,5.0,0,749.0,,,,,0.0,2023-12-08,img_20231208_094046_142.JPG,web_site,#c9b0a9,fear
2023-12-08 20:43:00,744.0,3,0,5.0,0,749.0,,,,,0.0,2023-12-08,img_20231208_095334_773.JPG,web_site,#ab8c93,neutral
2023-08-08 18:48:00,529.0,6,0,2.0,0,495.0,3.0,,,,-2.0,2023-08-08,IMG_20230808_194851_186.JPG,web_site,#6d2f5e,happy
2023-03-08 13:31:00,711.0,3,0,19.0,0,736.0,,,,,-2.0,2023-03-08,IMG_20230308_164700_665.jpg,web_site,#a98ba9,happy
2023-07-27 19:47:00,721.0,1,0,2.0,0,722.0,,,,,-2.0,2023-07-27,IMG_20230727_204800_793.JPG,web_site,#cecdcf,surprise
2023-07-22 07:19:00,555.0,3,0,7.0,0,577.0,,,,,-2.0,2023-07-22,IMG_20230722_082353_222.JPG,envelope,#6e6976,sad
2023-07-22 07:19:00,555.0,3,0,7.0,0,577.0,,,,,-2.0,2023-07-22,IMG_20230722_091940_212.JPG,library,#706576,happy
2023-07-22 06:23:00,611.0,2,0,,0,608.0,,,,,0.0,2023-07-22,IMG_20230722_082353_222.JPG,envelope,#6e6976,sad
2023-07-22 06:23:00,611.0,2,0,,0,608.0,,,,,0.0,2023-07-22,IMG_20230722_091940_212.JPG,library,#706576,happy
2023-07-21 17:40:00,406.0,1,0,3.0,0,398.0,,,,,0.0,2023-07-21,IMG_20230721_193331_027.JPG,Bouvier_des_Flandres,#5f606e,fear
2023-07-21 17:40:00,406.0,1,0,3.0,0,398.0,,,,,0.0,2023-07-21,IMG_20230721_194103_803.JPG,hair_slide,#787a87,sad
2023-07-21 17:33:00,724.0,2,0,6.0,0,733.0,,1.0,,,0.0,2023-07-21,IMG_20230721_193331_027.JPG,Bouvier_des_Flandres,#5f606e,fear
2023-07-21 17:33:00,724.0,2,0,6.0,0,733.0,,1.0,,,0.0,2023-07-21,IMG_20230721_194103_803.JPG,hair_slide,#787a87,sad
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,fear
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,335.0,0,0,1.0,0,293.0,3.0,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,fear
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,363.0,0,0,,0,303.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,fear
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,407.0,1,0,,0,348.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173636_071.JPG,web_site,#812b57,happy
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173637_701.JPG,web_site,#aa5d7e,fear
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173638_825.JPG,web_site,#a04c6f,fear
2023-07-20 16:36:00,621.0,2,0,,0,544.0,,,,,-2.0,2023-07-20,IMG_20230720_173649_077.JPG,web_site,#a25071,angry
2023-07-19 08:50:00,492.0,1,0,2.0,0,462.0,,,,,-2.0,2023-07-19,IMG_20230719_095046_340.JPG,web_site,#d0d0da,fear
2023-07-17 19:08:00,719.0,2,0,6.0,0,750.0,,,,,0.0,2023-07-17,IMG_20230717_200826_252.JPG,web_site,#f1eef1,neutral
2023-07-17 08:06:00,917.0,2,0,12.0,1,941.0,,,,,-2.0,2023-07-17,IMG_20230717_200826_252.JPG,web_site,#f1eef1,neutral
2023-07-14 16:40:00,830.0,4,0,7.0,0,855.0,,,,,0.0,2023-07-14,img_20230714_174025_731.JPG,envelope,#9b5b75,happy
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 14:53:00,653.0,4,0,6.0,0,666.0,,,,,0.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 13:30:00,665.0,3,0,3.0,0,676.0,,,,,-2.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 13:28:00,738.0,10,0,1.0,0,726.0,,,,,0.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_155411_825.jpg,beer_glass,#60696d,happy
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_143018_428.jpg,envelope,#ccafb7,happy
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_142915_212.jpg,feather_boa,#657385,angry
2023-03-31 13:28:00,951.0,6,0,1.0,0,897.0,,,,,0.0,2023-03-31,IMG_20230331_142836_189.jpg,cock,#6d798a,angry
2023-03-27 08:28:00,1700.0,3,0,19.0,0,1771.0,,,,,0.0,2023-03-27,IMG_20230327_092942_876.jpg,bonnet,#787a7f,fear
2023-03-26 10:39:00,1384.0,5,0,11.0,0,1386.0,,,6.0,,0.0,2023-03-26,IMG_20230326_113944_601.jpg,web_site,#626065,happy
2023-03-19 14:00:00,5780.0,19,0,59.0,3,5722.0,,,,,0.0,2023-03-19,IMG_20230319_150117_392.jpg,wooden_spoon,#9c9396,sad
2023-03-13 09:20:00,1225.0,4,0,,0,1189.0,,,,,-2.0,2023-03-13,IMG_20230313_102215_888.jpg,envelope,#a89b75,happy
2023-08-03 14:46:00,1223.0,9,0,18.0,2,1263.0,,,,,0.0,2023-08-03,IMG_20230803_143127_552.JPG,web_site,#753966,happy
2023-06-03 09:48:00,1193.0,6,0,7.0,0,1196.0,,,,,-2.0,2023-06-03,img_20230603_141547_588.JPG,web_site,#a19da5,neutral
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:24:00,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:23:00,778.0,1,0,1.0,0,800.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:22:00,814.0,3,0,1.0,1,836.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212509_153.jpg,web_site,#896fb2,neutral
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212315_147.jpg,web_site,#612a78,fear
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212251_695.jpg,web_site,#612670,fear
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212233_315.jpg,web_site,#643682,fear
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_212218_155.jpg,envelope,#6e61ad,happy
2023-02-14 19:22:00,873.0,2,0,1.0,0,916.0,,,,,-2.0,2023-02-14,IMG_20230214_204359_214.jpg,lipstick,#929bad,happy
