nombre_archivo,fecha,objeto_principal,color_dominante,emocion_primaria
IMG_20231222_182937_798.jpg,2023-12-22,potter's_wheel,#4e4f66,happy
IMG_20231106_195856_513.webp,2023-11-06,swing,#42454e,happy
IMG_20231103_173639_881.webp,2023-11-03,corn,#656b7c,happy
IMG_20231102_210840_705.webp,2023-11-02,altar,#686977,fear
IMG_20230417_194119_473.jpg,2023-04-17,jersey,#c3718a,sad
IMG_20230413_182723_462.jpg,2023-04-13,hotdog,#747888,fear
IMG_20230407_102256_670.jpg,2023-04-07,web_site,#b77e64,happy
IMG_20230406_180835_997.jpg,2023-04-06,web_site,#cbab9e,neutral
IMG_20230405_144238_793.jpg,2023-04-05,sunglasses,#828696,neutral
IMG_20230403_171043_251.jpg,2023-04-03,seat_belt,#7a8697,happy
IMG_20230401_174937_805.jpg,2023-04-01,seat_belt,#8b8f98,surprise
IMG_20230401_115828_786.jpg,2023-04-01,patio,#7e878c,surprise
IMG_20230401_115753_686.jpg,2023-04-01,altar,#76717b,angry
IMG_20230331_155411_825.jpg,2023-03-31,beer_glass,#60696d,happy
IMG_20230331_143018_428.jpg,2023-03-31,envelope,#ccafb7,happy
IMG_20230331_142915_212.jpg,2023-03-31,feather_boa,#657385,angry
IMG_20230331_142836_189.jpg,2023-03-31,cock,#6d798a,angry
IMG_20230327_092942_876.jpg,2023-03-27,bonnet,#787a7f,fear
IMG_20230326_113944_601.jpg,2023-03-26,web_site,#626065,happy
IMG_20230324_083604_745.jpg,2023-03-24,web_site,#b59d85,happy
IMG_20230319_150117_392.jpg,2023-03-19,wooden_spoon,#9c9396,sad
IMG_20230313_102215_888.jpg,2023-03-13,envelope,#a89b75,happy
IMG_20230308_164700_665.jpg,2023-03-08,web_site,#a98ba9,happy
IMG_20230307_201630_426.jpg,2023-03-07,web_site,#7e5386,happy
IMG_20230307_201332_870.jpg,2023-03-07,web_site,#63408d,angry
IMG_20230307_201313_495.jpg,2023-03-07,web_site,#60307b,sad
IMG_20230307_201258_444.jpg,2023-03-07,web_site,#603584,sad
IMG_20230307_201210_797.jpg,2023-03-07,web_site,#623684,sad
IMG_20230307_201157_014.jpg,2023-03-07,web_site,#633a87,fear
IMG_20230307_201137_890.jpg,2023-03-07,web_site,#643f8d,happy
IMG_20230306_114921_701.jpg,2023-03-06,packet,#9ca993,happy
IMG_20230214_212509_153.jpg,2023-02-14,web_site,#896fb2,neutral
IMG_20230214_212315_147.jpg,2023-02-14,web_site,#612a78,fear
IMG_20230214_212251_695.jpg,2023-02-14,web_site,#612670,fear
IMG_20230214_212233_315.jpg,2023-02-14,web_site,#643682,fear
IMG_20230214_212218_155.jpg,2023-02-14,envelope,#6e61ad,happy
IMG_20230214_204359_214.jpg,2023-02-14,lipstick,#929bad,happy
IMG_20230210_131835_344.jpg,2023-02-10,web_site,#779aac,happy
IMG_20230210_131753_231.jpg,2023-02-10,web_site,#c7c0d3,sad
IMG_20230208_194355_266.jpg,2023-02-08,web_site,#63688b,happy
IMG_20230208_193458_035.jpg,2023-02-08,eggnog,#757491,sad
IMG_20230204_115956_923.jpg,2023-02-04,hard_disc,#909696,happy
IMG_20230129_194514_136.jpg,2023-01-29,web_site,#57514a,happy
IMG_20230125_162752_863.jpg,2023-01-25,web_site,#404351,happy
IMG_20230125_162719_529.jpg,2023-01-25,web_site,#dac3ce,sad
IMG_20230125_162138_882.jpg,2023-01-25,web_site,#718387,happy
IMG_20230125_162125_666.jpg,2023-01-25,web_site,#4d5971,happy
IMG_20230122_193730_320.jpg,2023-01-22,seat_belt,#6a6686,happy
IMG_20230120_122337_300.jpg,2023-01-20,web_site,#5d575f,happy
IMG_20230118_103100_626.jpg,2023-01-18,teapot,#98a2a8,neutral
IMG_20230116_192025_454.jpg,2023-01-16,stole,#57515f,sad
IMG_20230112_154949_486.jpg,2023-01-12,web_site,#6c79bd,happy
IMG_20230111_090246_054.jpg,2023-01-11,espresso,#b4bbce,sad
IMG_20230108_150427_607.jpg,2023-01-08,ski_mask,#4b3e41,neutral
IMG_20230108_105914_439.jpg,2023-01-08,potpie,#909ca7,happy
IMG_20230107_114144_017.jpg,2023-01-07,potpie,#95a2ad,happy
IMG_20230106_211449_997.jpg,2023-01-06,tray,#4d4a76,happy
IMG_20230106_211416_808.jpg,2023-01-06,cleaver,#516da4,sad
IMG_20230106_211406_092.jpg,2023-01-06,cassette,#6d6e76,sad
IMG_20230106_211355_310.jpg,2023-01-06,mask,#98a7aa,happy
IMG_20230106_211343_940.jpg,2023-01-06,magnetic_compass,#464855,angry
IMG_20230106_211333_090.jpg,2023-01-06,golfcart,#666b7c,happy
IMG_20230106_211322_851.jpg,2023-01-06,cowboy_hat,#5c6374,happy
IMG_20230106_211205_437.jpg,2023-01-06,mailbox,#55787a,fear
IMG_20230106_211153_582.jpg,2023-01-06,ice_lolly,#52646a,fear
IMG_20230106_143840_679.jpg,2023-01-06,packet,#5c5d6b,happy
IMG_20230103_203624_503.jpg,2023-01-03,plate,#5c697b,angry
IMG_20230101_203517_057.jpg,2023-01-01,safety_pin,#425c81,happy
IMG_20230101_181738_189.jpg,2023-01-01,pizza,#5c5f61,happy
IMG_20230101_173236_089.jpg,2023-01-01,red_wine,#747382,fear
IMG_20230429_004509_286.JPG,2023-04-29,web_site,#f7f8f8,neutral
img_20230501_122655_980.JPG,2023-05-01,web_site,#a7a7b2,happy
img_20230503_061407_982.JPG,2023-05-03,patio,#666a72,happy
img_20230503_091511_037.JPG,2023-05-03,iPod,#5e6667,fear
img_20230504_155609_956.JPG,2023-05-04,golfcart,#7e7b82,neutral
IMG_20230505_094107_425.JPG,2023-05-05,turnstile,#737c8c,surprise
img_20230507_094152_08.JPG,2023-05-07,web_site,#52565f,happy
IMG_20230509_072408_769.JPG,2023-05-09,web_site,#616164,angry
img_20230509_132611_559.JPG,2023-05-09,web_site,#579995,happy
img_20230509_202035_751.JPG,2023-05-09,web_site,#708b9c,neutral
img_20230510_105830_075.JPG,2023-05-10,seat_belt,#8a8496,happy
img_20230515_122925_105.JPG,2023-05-15,doormat,#767a92,fear
img_20230522_154957_674.JPG,2023-05-22,web_site,#ae8a9a,happy
img_20230522_15123_340.JPG,2023-05-22,web_site,#a96d86,sad
img_20230522_155215_156.JPG,2023-05-22,web_site,#f08f71,surprise
img_20230522_155216_818.JPG,2023-05-22,envelope,#e9b3a5,sad
img_20230522_155219_090.JPG,2023-05-22,envelope,#bcb4cc,neutral
img_20230522_155225_104.JPG,2023-05-22,envelope,#e8b9af,neutral
img_20230524_070847_481.JPG,2023-05-24,web_site,#cdcdcd,angry
img_20230525_104901_188.JPG,2023-05-25,envelope,#b59f9b,happy
img_20230525_154700_505.JPG,2023-05-25,jean,#79636b,happy
img_20230529_074542_247.JPG,2023-05-29,web_site,#887b83,fear
img_20230603_141547_588.JPG,2023-06-03,web_site,#a19da5,neutral
img_20230612_185252_158.JPG,2023-06-12,digital_clock,#984770,happy
img_20230612_210230_415.JPG,2023-06-12,web_site,#814b74,happy
img_20230613_092135_179.JPG,2023-06-13,web_site,#8c958e,happy
img_20230614_120811_894.JPG,2023-06-14,web_site,#858084,happy
img_20230616_115900_899.JPG,2023-06-16,quill,#989ba9,neutral
img_20230622_104432_732.JPG,2023-06-22,packet,#70727d,sad
img_20230710_093034_055.JPG,2023-07-10,envelope,#aca5ae,angry
img_20230714_174025_731.JPG,2023-07-14,envelope,#9b5b75,happy
IMG_20230717_200826_252.JPG,2023-07-17,web_site,#f1eef1,neutral
IMG_20230719_095046_340.JPG,2023-07-19,web_site,#d0d0da,fear
IMG_20230720_173636_071.JPG,2023-07-20,web_site,#812b57,happy
IMG_20230720_173637_701.JPG,2023-07-20,web_site,#aa5d7e,fear
IMG_20230720_173638_825.JPG,2023-07-20,web_site,#a04c6f,fear
IMG_20230720_173649_077.JPG,2023-07-20,web_site,#a25071,angry
IMG_20230721_193331_027.JPG,2023-07-21,Bouvier_des_Flandres,#5f606e,fear
IMG_20230721_194103_803.JPG,2023-07-21,hair_slide,#787a87,sad
IMG_20230722_082353_222.JPG,2023-07-22,envelope,#6e6976,sad
IMG_20230722_091940_212.JPG,2023-07-22,library,#706576,happy
IMG_20230727_204800_793.JPG,2023-07-27,web_site,#cecdcf,surprise
IMG_20230803_143127_552.JPG,2023-08-03,web_site,#753966,happy
IMG_20230808_194851_186.JPG,2023-08-08,web_site,#6d2f5e,happy
IMG_20230810_101951_474.JPG,2023-08-10,web_site,#6492c6,happy
IMG_20230810_160457_093.JPG,2023-08-10,stole,#5d5e6f,surprise
IMG_20230812_214312_621.JPG,2023-08-12,pencil_box,#594a6f,fear
img_20230814_123530_258.JPG,2023-08-14,web_site,#b7b8b9,angry
img_20230831_150332_484.JPG,2023-08-31,web_site,#bdb7bc,neutral
img_20230901_192630_079.JPG,2023-09-01,web_site,#a58a58,sad
img_20230902_115445_382.JPG,2023-09-02,consomme,#728796,sad
img_20230903_104131_270.JPG,2023-09-03,web_site,#838d95,happy
img_20230903_104230_105.JPG,2023-09-03,web_site,#8a9bad,sad
img_20230903_104241_435.JPG,2023-09-03,web_site,#998883,neutral
img_20230903_104252_723.JPG,2023-09-03,web_site,#7d7691,happy
img_20230903_104309_535.JPG,2023-09-03,envelope,#9e4e72,happy
img_20230907_184339_257.JPG,2023-09-07,home_theater,#696456,fear
img_20230910_124252_716.JPG,2023-09-10,brassiere,#9495a7,happy
img_20230910_174741_622.JPG,2023-09-10,fire_screen,#949ca0,neutral
img_20230910_210112_254.JPG,2023-09-10,toyshop,#898a96,fear
img_20230912_145923_671.JPG,2023-09-12,web_site,#a78a53,happy
img_20230913_091736_225.JPG,2023-09-13,web_site,#628479,happy
img_20230918_132526_627.JPG,2023-09-18,web_site,#f0ecf0,neutral
img_20230919_211326_765.JPG,2023-09-19,packet,#585d5e,happy
img_20230919_224225_448.JPG,2023-09-19,web_site,#8a756b,sad
img_20230922_112624_757.JPG,2023-09-22,sunglasses,#8993a8,happy
img_20230926_155613_230.JPG,2023-09-26,web_site,#cdcfd6,neutral
img_20230929_105901_289.JPG,2023-09-29,envelope,#a5c9d9,happy
img_20231001_110448_650.JPG,2023-10-01,sunglasses,#9aa2b6,sad
img_20231002_111757_68}2.JPG,2023-10-02,web_site,#6a1d51,angry
img_20231002_112036_587.JPG,2023-10-02,web_site,#732957,neutral
img_20231002_195655_366.JPG,2023-10-02,web_site,#415352,happy
img_20231004_145727_231.JPG,2023-10-04,menu,#8999a2,neutral
img_20231005_144335_085.JPG,2023-10-05,web_site,#867a8b,sad
img_20231014_183052_868.JPG,2023-10-14,night_snake,#5e5d74,fear
img_20231016_111931_352.JPG,2023-10-16,French_loaf,#5c6980,neutral
img_20231017_073117_525.JPG,2023-10-17,web_site,#71a299,fear
img_20231019_101739_145.JPG,2023-10-19,frying_pan,#778691,happy
img_20231023_111222_164.JPG,2023-10-23,caldron,#54606c,angry
img_20231025_185900_681.JPG,2023-10-25,web_site,#545b73,sad
img_20231021_211007_172.JPG,2023-10-21,web_site,#d2d2d2,neutral
img_20231029_16114_271.JPG,2023-10-29,web_site,#9c96b2,happy
img_20231030_134200_340.JPG,2023-10-30,web_site,#9898a0,sad
img_20231031_090116_142.JPG,2023-10-31,espresso,#90a2ba,angry
img_20231031_104302_997.JPG,2023-10-31,carton,#8e9098,sad
img_20231031_17342_753.JPG,2023-10-31,bagel,#5a7795,sad
img_20231031_180907_348.JPG,2023-10-31,plate,#6984b4,neutral
img_20231101_111546_032.JPG,2023-11-01,bagel,#878da7,sad
img_20231101_162415_442.JPG,2023-11-01,potpie,#4a72a8,sad
img_20231105_161114_813.JPG,2023-11-05,swing,#3e424c,happy
img_20231105_180430_244.JPG,2023-11-05,web_site,#9d91a3,sad
img_20231108_111512_394.JPG,2023-11-08,web_site,#83486f,sad
img_20231109_151903_858.JPG,2023-11-09,web_site,#7d76b7,sad
img_20231112_151040_848.JPG,2023-11-12,iron,#747374,surprise
img_20231112_171252_100.JPG,2023-11-12,web_site,#88898c,neutral
img_20231112_180053_149.JPG,2023-11-12,stole,#a99da2,happy
img_20231113_124011_527.JPG,2023-11-13,web_site,#aea38e,angry
img_20231114_171018_259.JPG,2023-11-14,book_jacket,#6b5a5b,happy
img_20231120_114518_579.JPG,2023-11-20,wok,#95989e,angry
img_20231127_115721_790.JPG,2023-11-27,plate,#8a92a0,fear
img_20231129_092822_072.JPG,2023-11-29,book_jacket,#857485,happy
img_20231201_080738_765.JPG,2023-12-01,web_site,#8c6136,sad
img_20231202_111442_911.JPG,2023-12-02,web_site,#c4c2c8,happy
img_20231203_153112_005.JPG,2023-12-03,tray,#8393b2,angry
img_20231204_093227_861.JPG,2023-12-04,web_site,#9e6a3b,fear
img_20231205_140027_922.JPG,2023-12-05,eggnog,#818192,sad
img_20231208_094046_142.JPG,2023-12-08,web_site,#c9b0a9,fear
img_20231208_095334_773.JPG,2023-12-08,web_site,#ab8c93,neutral
img_20231210_152007_252.JPG,2023-12-10,web_site,#7f7489,happy
img_20231213_131506_349.JPG,2023-12-13,web_site,#733d5d,neutral
img_20231213_131509_899.JPG,2023-12-13,web_site,#514940,angry
img_20231214_185323_269.JPG,2023-12-14,web_site,#8c8399,happy
img_20231218_173716_965.JPG,2023-12-18,swing,#6c7089,happy
img_20231220_175120_219.JPG,2023-12-20,dining_table,#5b6b8a,angry
img_20231222_182817_998.JPG,2023-12-22,potter's_wheel,#4c4d63,happy
img_20231223_110557_952.JPG,2023-12-23,screen,#534e38,happy
img_20231223_110559_012.JPG,2023-12-23,television,#555b3c,sad
img_20231225_111317_831.JPG,2023-12-25,packet,#9b7f95,sad
img_20231225_151219_549.JPG,2023-12-25,web_site,#55779b,happy
img_20231227_170637_259.JPG,2023-12-27,shower_cap,#67626a,happy
img_20231228_092223_407.JPG,2023-12-28,web_site,#5e473a,fear
img_20231229_120935_441.JPG,2023-12-29,web_site,#aa7f9f,happy
img_20231229_154437_750.JPG,2023-12-29,web_site,#f3caea,fear
img_20231231_121800_778.JPG,2023-12-31,web_site,#251b23,angry
img_20230419_123903_072.JPG,2023-04-19,screen,#9e9da6,fear
img_20230422_145159_422.JPG,2023-04-22,bikini,#9093a8,happy
img_20230427_201752_736.JPG,2023-04-27,web_site,#bbabab,neutral
img_20230428_113222_404.JPG,2023-04-28,web_site,#8e868d,sad
img_20230420_133836_783.JPG,2023-04-20,web_site,#979aa4,sad
IMG_20230428_113740_420.JPG,2023-04-28,web_site,#95563b,sad
img_20230420_134606_000.JPG,2023-04-20,web_site,#a3899c,happy
img_20230426_183523_816.JPG,2023-04-26,web_site,#f8f7f9,angry
img_20230427_201420_420.JPG,2023-04-27,web_site,#cfced7,happy
IMG_20230428_113551_962.JPG,2023-04-28,web_site,#90563c,neutral
IMG_20230430_202116_449.JPG,2023-04-30,plastic_bag,#5d708b,neutral
IMG_20230429_155825_169.JPG,2023-04-29,gown,#bdbeca,fear
IMG_20230430_202116_384.JPG,2023-04-30,limousine,#81878f,happy
IMG_20230430_202116_761.JPG,2023-04-30,shower_cap,#97a1b2,angry
IMG_20230430_202129_014.JPG,2023-04-30,hoopskirt,#5f6a8a,sad
IMG_20230430_202129_140.JPG,2023-04-30,bonnet,#728ca6,happy
IMG_20230430_202130_572.JPG,2023-04-30,academic_gown,#7e9195,sad